领域,应用,主归属流程节点,功能点,方法,路径,关系类型,Controller,关联流程节点,来源,确认状态
家装,报价,报价触发与报价单生成,报价单生成,POST,/quotation/offer,主接口,QuotationApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,场景价格来源映射,POST,/quotation/offer,主接口,QuotationApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,物料自动带出,POST,/quotation/offer,主接口,QuotationApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,数量价汇总,POST,/quotation/offer,主接口,QuotationApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,造价明细落库,POST,/quotation/offer,主接口,QuotationApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,报价单生成,POST,/quotation/bim/offer,主接口,QuotationBimApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,数量价汇总,POST,/quotation/bim/offer,主接口,QuotationBimApi#offerQuotations,报价触发与报价单生成；报价场景识别与价格来源；物料处理与自动带出；金额计算与汇总；造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,报价单生成,POST,/quotation/bim/kysx/offer,主接口,QuotationBimApi#kysxOfferQuotations,报价触发与报价单生成；报价场景识别与价格来源；造价提交与审核,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,报价类型识别,POST,/quotation/renewalOffer,主接口,QuotationApi#renewalOfferQuotations,报价触发与报价单生成；报价场景识别与价格来源,接口清单第五节,待研发确认主接口
家装,报价,造价单生成与明细落库,造价明细落库,POST,/quotation/createDesignCost,主接口,QuotationApi#createDesignCost,造价单生成与明细落库,接口清单第五节,待研发确认主接口
家装,报价,造价提交与审核,提交审核,POST,/quotation/submitDesignCost,主接口,QuotationApi#submitDesignCost,造价提交与审核,接口清单第五节,待研发确认主接口
家装,报价,造价提交与审核,自动审核判定,POST,/quotation/submitDesignCost,主接口,QuotationApi#submitDesignCost,造价提交与审核,接口清单第五节,待研发确认主接口
家装,报价,参数解析与输入精度,参数必填校验,POST,/quotation/checkParamBeforeSubmit,校验接口,QuotationApi#checkParamBeforeSubmit,参数解析与输入精度；造价提交与审核,接口清单第五节,待研发确认主接口
家装,报价,参数解析与输入精度,输入精度校验,POST,/quotation/checkParamBeforeSubmit,校验接口,QuotationApi#checkParamBeforeSubmit,参数解析与输入精度；造价提交与审核,接口清单第五节,待研发确认主接口
家装,报价,报价触发与报价单生成,报价单生成,POST,/quotation/tempSaveOfferInfo,配套接口,QuotationApi#tempSaveOfferInfo,报价触发与报价单生成；参数解析与输入精度,接口清单第五节,待研发确认主接口
家装,报价,造价提交与审核,提交审核,POST,/quotation/confirmDesignCost,主接口,QuotationApi#confirmDesignCost,造价提交与审核；生命周期与外部联动,接口清单第五节,待研发确认主接口
家装,报价,造价提交与审核,库存预占与失效,POST,/quotation/confirmDesignCost,主接口,QuotationApi#confirmDesignCost,造价提交与审核；生命周期与外部联动,接口清单第五节,待研发确认主接口
家装,报价,实勘审核,提交审核,POST,/quotation/reviewSubmit,主接口,QuotationApi#reviewSubmit,实勘审核；生命周期与外部联动,接口清单第五节,待研发确认主接口
家装,报价,造价提交与审核,提交审核,POST,/costAudit/findList,查询接口,CostAuditApi#findList,造价提交与审核,接口清单第五节,待研发确认主接口
