领域,应用,上游节点,下游节点,关系类型,强弱,依据,确认状态
家装,报价,报价触发与报价单生成,报价场景识别与价格来源,主流程,强,quote.json 节点顺序,待确认
家装,报价,报价场景识别与价格来源,参数解析与输入精度,主流程,强,quote.json 节点顺序,待确认
家装,报价,参数解析与输入精度,物料处理与自动带出,主流程,强,quote.json 节点顺序,待确认
家装,报价,物料处理与自动带出,金额计算与汇总,主流程,强,quote.json 节点顺序,待确认
家装,报价,金额计算与汇总,造价单生成与明细落库,主流程,强,quote.json 节点顺序,待确认
家装,报价,造价单生成与明细落库,造价提交与审核,主流程,强,quote.json 节点顺序,待确认
家装,报价,造价提交与审核,实勘审核,分支,弱,domain_panorama 业务边,待确认
家装,报价,造价提交与审核,申诉审核,分支,弱,domain_panorama 业务边,待确认
家装,报价,造价提交与审核,生命周期与外部联动,分支,强,domain_panorama 业务边,待确认
家装,报价,金额计算与汇总,前端展示与金额明细,分支,弱,domain_panorama 业务边,待确认
家装,报价,参数解析与输入精度,前端展示与金额明细,弱依赖,弱,domain_panorama 业务边,待确认
家装,报价,造价提交与审核,造价提交与审核,状态机:正向,强,DesignCost 待提交→待审核（提交审核）,已配置
家装,报价,造价提交与审核,造价提交与审核,状态机:正向,强,DesignCost 待审核→审核通过（审核通过）,已配置
家装,报价,造价提交与审核,造价提交与审核,状态机:异常,强,DesignCost 待审核→审核拒绝（审核拒绝）,已配置
家装,报价,造价提交与审核,造价提交与审核,状态机:回退,中,DesignCost 审核拒绝→待审核（编辑后重新提交）,已配置
家装,报价,生命周期与外部联动,生命周期与外部联动,状态机:生命周期,中,DesignCost 审核通过→已失效（到期/作废）,已配置
家装,报价,实勘审核,实勘审核,状态机:正向,强,Review 待审核→审核通过/调整通过,已配置
家装,报价,申诉审核,申诉审核,状态机:正向,强,Appeal 初审→终审→通过/调整/拒绝,已配置
