用例ID,用例名称,优先级,领域,应用,流程节点,功能点,测试场景,前置,步骤,预期,关联接口,缺口来源,匹配依据,关联规则,关联状态,关联字段,置信度,处理建议,确认状态,数据来源
CA-G01,造价审核专员成功接单,P1,家装,报价,造价提交与审核,接单,造价单审核-缺口,造价单 check_status=SUBMITED(10) 且 audit_user_code 为空（待接单）,"1.审核专员在造价审核列表对待接单记录执行接单。
2.调用 POST /costAudit/accept。","1.audit_user_code/name 更新为当前用户。
2.状态仍为待审核 SUBMITED(10)，仅绑定审核人。",POST /costAudit/accept,造价审核接口&上下游清单&数据库.md,MD§五.2 接单：只绑定审核人，不改状态,WAIT_ACCEPT,SUBMITED + audit_user 为空 → 已接单,"audit_user_code,audit_user_name,check_status",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G02,造价审核单转派成功并通知新审核人,P1,家装,报价,造价提交与审核,转派,造价单审核-缺口,造价单已在待审核，存在原审核人,"1.有权限用户对一条或多条造价审核单执行转派到目标审核人。
2.调用 POST /costAudit/transform。","1.audit_user 更新为目标用户。
2.异步发送企微消息 TRANSFORM_MSG 通知新审核人。",POST /costAudit/transform,造价审核接口&上下游清单&数据库.md,MD§五.3 转派 + 企微异步通知,TRANSFORM_MSG,SUBMITED,"audit_user_code,audit_user_name",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G03,催审后列表置顶展示,P2,家装,报价,造价提交与审核,催审,造价单审核-缺口,造价单处于待审核,"1.对目标造价单执行催审。
2.调用 POST /costAudit/urgentReview。
3.刷新列表。","1.urgent_review_time 置为当前时间。
2.列表按 urgent_review_time desc 置顶。
3.不影响 check_status 状态机。",POST /costAudit/urgentReview,造价审核接口&上下游清单&数据库.md,MD§五.4 催审只改 urgent_review_time,,SUBMITED,urgent_review_time,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G04,待接单列表仅展示未绑定审核人的待审核单,P1,家装,报价,造价提交与审核,审核列表与详情,造价单审核-缺口,存在待接单与已接单两类待审核造价单,"1.打开造价审核列表，筛选待接单 WAIT_ACCEPT。
2.调用 GET /costAudit/findList。",仅返回 check_status=10 且 audit_user_code IS NULL 的记录。,GET /costAudit/findList,造价审核接口&上下游清单&数据库.md,MD§五.1 待接单条件,WAIT_ACCEPT,SUBMITED,"check_status,audit_user_code",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G05,统计接口仅统计待审核/超时/即将超时/待接单,P2,家装,报价,造价提交与审核,审核统计,造价单审核-缺口,库中存在通过、驳回、待审核、超时等各类单据,1.调用 GET /costAudit/count 获取顶部统计。,"1.返回待审核、已超时、即将超时、待接单数量。
2.通过/驳回计数不展示（产品已去掉 passCount/rejectCount）。",GET /costAudit/count,造价审核接口&上下游清单&数据库.md,MD§八 count 中 pass/reject 已停用,ABOUT_TIME_OUT_MS,SUBMITED,expected_audit_time,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G06,即将超时单据在超时阈值内正确标识,P1,家装,报价,造价提交与审核,审核时效,造价单审核-缺口,造价单 expected_audit_time 距当前小于 ABOUT_TIME_OUT_MS（10分钟）且未超时,"1.打开列表/统计查看即将超时。
2.核对倒计时与标识。",单据进入即将超时集合；与已超时区分正确。,GET /costAudit/findList; GET /costAudit/count,造价审核接口&上下游清单&数据库.md,MD§四 ABOUT_TIME_OUT_MS=10分钟,ABOUT_TIME_OUT_MS=10min,SUBMITED,expected_audit_time,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G07,造价单取消后状态为已取消,P1,家装,报价,造价提交与审核,造价单状态流转,造价单审核-缺口,造价单处于待提交 INIT 或待审核 SUBMITED,1.执行取消操作。,check_status 变为 CANCEL(40)。,jz_design_cost.check_status → CANCEL(40),造价审核接口&上下游清单&数据库.md,MD§四 DesignCheckStatusEnum CANCEL=40；quote.json 亦有取消流转,,INIT/SUBMITED → CANCEL(40),check_status,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G08,造价单失效后状态为已失效,P2,家装,报价,造价提交与审核,造价单状态流转,造价单审核-缺口,造价单已审核通过且到达失效条件（或系统作废）,1.触发失效（到期/系统作废）。,check_status 变为 INVALID(50)；列表「我的审核」默认排除失效。,jz_design_cost.check_status → INVALID(50),造价审核接口&上下游清单&数据库.md,MD§四 INVALID=50；§五.1 我的审核默认排除失效,,PASS → INVALID(50),"check_status,invalid_time",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G09,审核通过后生效期为15天,P1,家装,报价,造价提交与审核,审核通过生效期,造价单审核-缺口,非长租锁库存版本；人工或自动审核通过,"1.执行审核通过（checkDesignCost PASS）。
2.查询造价单 valid_time / invalid_time。",valid_time=当前；invalid_time=valid_time+15天。,DesignCostService#checkDesignCost(PASS),造价审核接口&上下游清单&数据库.md,MD 方向1§三 通过后失效期15天,valid/invalid +15天,SUBMITED → PASS,"valid_time,invalid_time,check_status",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G10,长租锁库存版本审核通过后失效期30天并投递延迟作废,P1,家装,报价,造价提交与审核,审核通过生效期,造价单审核-缺口,QuotationUtil.judgeNeedLockStockAndExpire 为真的产品版本,"1.审核通过。
2.核对失效时间与延迟消息。","1.invalid_time 为 30 天。
2.发送 Foxy 延迟消息 DESIGN_COST_EXPIRE_KEY 用于到期作废。",checkDesignCost(PASS) + foxyMessageManager,造价审核接口&上下游清单&数据库.md,MD 方向1§三/§七 长租30天 + Foxy延迟队列,judgeNeedLockStockAndExpire,SUBMITED → PASS,invalid_time,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
