Story ID,标题,模块编码,模块名称,波次,优先级,估时,依赖,原型状态,开发状态,验收标准
A-01,正式前端工程与页面路由,A,平台壳层与上下文,W0,P0,2d,—,部分,待开发,支持 produce/panorama/detail/master-data/overview/health/sync/baseline/impact 路由；刷新不丢页面
A-02,租户、领域、应用上下文,A,平台壳层与上下文,W0,P0,2d,A-01,已验证,待开发,上下文切换联动导入、主数据、资产和全景；URL 可恢复
A-03,角色与操作权限门禁,A,平台壳层与上下文,W0,P0,2d,A-01,已验证,待开发,admin/reviewer/viewer 权限后端校验；按钮禁用不能替代鉴权
A-04,统一加载、空态、弱映射、失败态,A,平台壳层与上下文,W0,P0,1d,A-01,部分,待开发,页面区分无数据、无权限、映射不足和接口失败；失败可重试
A-05,外部前端依赖本地化,A,平台壳层与上下文,W0,P1,1d,A-01,部分,待开发,SheetJS、JSZip、Cytoscape 纳入构建，不依赖运行时公共 CDN
D-01,接入 feature_api_map 数据源,D,主数据与技术映射,W0-W2,P0,1d,—,已验证,已完成,按功能点名命中接口；主接口优先；对应旧 M3-S01
D-02,接入 quote flowNodes,D,主数据与技术映射,W0-W2,P0,0.5d,—,已验证,已完成,读取流程节点配置；对应旧 M3-S02
D-03,技术映射 resolve 服务,D,主数据与技术映射,W0-W2,P0,1d,"D-01,D-02",已验证,已完成,返回 apis/flowNodes/service/source；无映射有 fallback；对应旧 M3-S03
D-04,主数据统一模型与存储,D,主数据与技术映射,W0-W2,P0,3d,"D-01,D-02",已验证,待开发,流程边、功能点接口、接口下游、确认状态持久化；按领域/应用隔离
D-05,主数据查询与确认 API,D,主数据与技术映射,W0-W2,P0,2d,"D-04,A-03",已验证,待开发,支持按表查询、单条确认/取消、批量确认；记录操作者
D-06,主数据配置四 Tab 页面,D,主数据与技术映射,W0-W2,P0,3d,"D-05,A-02",已验证,待开发,流程边/功能点接口/接口下游/用例预览与最新版原型一致
D-07,主数据变更事件与 stale 标记,D,主数据与技术映射,W0-W2,P1,2d,D-05,无,待开发,已确认边或接口变更后，关联地图标记 stale 并可重算
E-01,featureKey 命名与 URL 规则,E,功能点地图引擎,W0-W2,P0,0.5d,—,已验证,已完成,固定领域/系统/场景/功能点四段；URL 编解码；对应旧 M1-S01
E-02,FeatureMapDTO 主结构,E,功能点地图引擎,W0-W2,P0,1d,E-01,已验证,已完成,Java DTO、OpenAPI、TypeScript 契约一致；对应旧 M1-S02
E-03,MapNode 统一节点模型,E,功能点地图引擎,W0-W2,P0,0.5d,E-02,已验证,已完成,id/type/title/status/confidence/payload；可投影列表和图谱；对应旧 M1-S03
B-01,生产目标与模式选择,B,资产导入与知识抽取,W1,P0,1d,A-02,已验证,部分完成,选择领域/应用；标准模式要求用例+知识库，仅用例模式知识库可选
B-02,CSV/XLSX 用例解析,B,资产导入与知识抽取,W1,P0,2d,B-01,已验证,已完成,支持表头模糊映射、空文件、缺列、编码错误；返回导入风险
B-03,XMind 用例解析,B,资产导入与知识抽取,W1,P1,2d,"B-01,A-05",已验证,已完成,支持 content.json/content.xml；主题层级转用例和步骤
B-04,TXT/MD/XLSX/XMind 知识库解析,B,资产导入与知识抽取,W1,P0,2d,"B-01,A-05",已验证,已完成,抽取场景、功能点、规则、节点；记录来源版本
B-05,自然语言知识抽取,B,资产导入与知识抽取,W1,P0,2d,B-04,已验证,已完成,粘贴文本生成可编辑候选；每项保留来源与置信度
B-06,关键字校准与确认门禁,B,资产导入与知识抽取,W1,P0,2d,"B-02,B-04",已验证,已完成,scene/feature/rule/node 分组确认；未确认不可生成地图草稿
B-07,仅用例聚类与 A/B/C 池,B,资产导入与知识抽取,W1,P0,3d,B-02,已验证,待开发,生成伪节点；≥80/60-79/<60 分池；输出匹配依据
B-08,导入批次与原始文件追溯,B,资产导入与知识抽取,W1,P0,2d,"B-02,B-04",部分,已完成,批次可查、可重跑；originalCaseId 和 knowledgeSourceVersion 必填
C-01,地图草稿与评审队列生成,C,评审与正式资产,W1,P0,3d,"B-06 或 B-07,D-04",已验证,已完成,生成历史挂载和 AI 缺口；AI 缺口不得直接入正式库
C-02,评审队列查询与筛选,C,评审与正式资产,W1,P0,2d,C-01,已验证,已完成,待评审/缺口/已确认/全部；应用、状态、A/B/C、关键词过滤
C-03,单条确认、调整、废弃,C,评审与正式资产,W1,P0,2d,"C-02,A-03",已验证,已完成,可修改用例内容和挂载；操作留痕；废弃缺口不入库
C-04,批量确认与部分失败处理,C,评审与正式资产,W1,P0,2d,C-03,已验证,已完成,A 池可批量确认；部分失败逐条返回，不产生半写入
C-05,用例生命周期基础状态机,C,评审与正式资产,W1,P0,2d,C-03,已验证,部分完成,评审中→已确认→已发布→已归档/已废弃；非法流转拒绝
C-06,正式资产 L1-L6 多维查询,C,评审与正式资产,W1,P0,3d,C-05,已验证,待开发,领域→系统→场景→功能点→测试场景→用例；支持接口/来源/生命周期
C-07,功能点正式用例查询 API,C,评审与正式资产,W1,P0,1d,E-01,已验证,已完成,仅返回已确认且非归档；支持 feature/scene/featureKey；对应旧 M2-S07
C-08,评审入库后投影刷新,C,评审与正式资产,W1,P0,2d,"C-05,E-04",部分,部分完成,正式资产、全景和地图数据自动更新，不依赖浏览器内存状态
E-04,FeatureMapAssembler 主流程,E,功能点地图引擎,W0-W2,P0,3d,"E-02,C-07,D-03",部分,已完成,输入 featureKey 输出完整 DTO；单源缺失降级，不返回 500
E-05,业务脊柱与邻接功能点组装,E,功能点地图引擎,W0-W2,P0,1d,E-04,已验证,已完成,返回 domain/system/scene/feature/valueTags/neighborFeatures
